web-scraper-order,web-scraper-start-url,photo-src,title,price
"1676376679-225","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://36.img.avito.st/image/1/1.0ek-LLa2fQBIi88BED-erfePfQqAT3uyi49_.RRhWzYRstYpLkXffwWk9dDRX4eeJM8EOWh4QNFk7KrA","",""
"1676376679-226","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Утюг Philips",""
"1676376679-227","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","2 500 ₽"
"1676376679-228","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://12.img.avito.st/image/1/1.bRurY7a2wfLdxHPz_VYXX2LAwfgVAMdAHsDD.8c1huhAfVoOEZdbKJGhZxQ5fkjUjapfWkyTdADPK-9Y","",""
"1676376679-229","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Утюг с парогенератором Philips",""
"1676376679-230","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","7 800 ₽"
"1676376679-231","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://12.img.avito.st/image/1/1.2WSxEra2dY3HtceMj0nFIHixdYcPcXM_BLF3.WsIUCTQGotiOHRb7r9b2wZMpJ-rywpgX4gPm4_DXyzU","",""
"1676376679-232","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Робот Пылесос Iboto X410",""
"1676376679-233","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","4 500 ₽"
"1676376679-234","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://67.img.avito.st/image/1/1.dvWuX7a22hzY-GgdznpWsGf82hYQPNyuG_zY.hl7oW0snJ1jZyMtLKkTwhYrQ68RHWToDTN_8r59njtI","",""
"1676376679-235","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Робот пылесос Ecovacs Debot D03G.02",""
"1676376679-236","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","9 000 ₽"
"1676376679-237","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://43.img.avito.st/image/1/1.HsWfvba2sizpGgAtr80Ig1YesiYh3rSeKh6w.ZsuUYeDBScwpEYfkzFLBobJJ6EcI0QsvnXSj45dDxGs","",""
"1676376679-238","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Робот пылесос Ecovacs Debot DC3G",""
"1676376679-239","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","7 200 ₽"
"1676376679-240","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://27.img.avito.st/image/1/1.ygg2Ira2ZuFAhdTgLlXtT_-BZuuIQWBTg4Fk.15jkcCpJnb1Tu5Zp8ISLAKpi1OJQBJkp1DY8Ndxplu4","",""
"1676376679-241","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Ручной Пылесос Philips FC6164",""
"1676376679-242","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","7 200 ₽"
"1676376679-243","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://83.img.avito.st/image/1/1.5vXwvba2ShyGGvgdsJKxtTkeShZO3kyuRR5I.vXHz4n9sp30CbecuA_u5VkQHi6RSW2Qi1l1X2MnzMF0","",""
"1676376679-244","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Пылесос Samsung SC5251",""
"1676376679-245","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","4 200 ₽"
"1676376679-246","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://85.img.avito.st/image/1/1.VCy2XLa2-MXA-0rEkgk9d3v_-M8IP_53A__6.tAk9Hazkrcyn-43_rXk9AEv4FO0dh6RXugWcW28NMbI","",""
"1676376679-247","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Nissan Wingroad, 1998",""
"1676376679-248","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","110 000 ₽"
"1676376679-249","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://06.img.avito.st/image/1/1.B9JK5ba2qzs8Qhk6SL0RuYNGqzH0hq2J_0ap.Fia-7N-nUnoSaVzTjp98Byyv6y9nxONAbdBeCCHsRj0","",""
"1676376679-250","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","iPhone XS 64 gb",""
"1676376679-251","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","19 990 ₽"
"1676376679-252","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://48.img.avito.st/image/1/1.sRu4JLa2HfLOg6_z1gbWQXOHHfgGRxtADYcf.6Zugztc7FKp9VV3oe5Rh0P4v1zxgJCUA8rMq0acfKpQ","",""
"1676376679-253","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Honor 10 lite 3/32",""
"1676376679-254","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","5 000 ₽"
"1676376679-255","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://59.img.avito.st/image/1/1.Qpt9ILa27nILh1xzdSlk9LaD7njDQ-jAyIPs.XUmVNdJGqqoN-03qdNVf2FJ24Lm6LS0C50cbk875kBE","",""
"1676376679-256","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Samsung Galaxy A32 4/128",""
"1676376679-257","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","10 300 ₽"
"1676376679-258","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://00.img.avito.st/image/1/1.SQaw3La25e_Ge1furuFQbXt_5eUOv-NdBX_n.K3YHo6siU0LByBrztMHwi9Lk1VkfhAvpcThewggmvkQ","",""
"1676376679-259","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Huawei P Smart Z 4/64",""
"1676376679-260","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","7 200 ₽"
"1676376679-261","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://66.img.avito.st/image/1/1.pxNwura2C_oGHbn7MuCjeLsZC_DO2Q1IxRkJ.dyir3bUQ2cFrf2pW8iwfBSdb8ElizbxGrurB0pbo0dg","",""
"1676376679-262","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Xiaomi Redmi Note 8t 3/32",""
"1676376679-263","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","5 700 ₽"
"1676376679-264","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://64.img.avito.st/image/1/1.yVufoLa2ZbLpB9ezgb-sCVUDZbghw2MAKgNn.kt-qtNh-zdY5uGT_Fm5TKgB38ES2RuyW0rl6CzO2w0M","",""
"1676376679-265","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Honor 10 4/64",""
"1676376679-266","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","6 700 ₽"
"1676376679-267","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://10.img.avito.st/image/1/1.2ytY97a2d8IuUMXDYripeJJUd8jmlHFw7VR1.e3gUMjwaMZnOtEZ94kjsHGyUa_xGj31FDiMUPMOzDhs","",""
"1676376679-268","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Xiaomi Redmi Note 7 3/32",""
"1676376679-269","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","6 300 ₽"
"1676376679-270","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://44.img.avito.st/image/1/1.XdAgC7a28TlWrEM4Fgosg-qo8TOeaPeLlajz.rgCx_zw1x4WdN-How7WIM8DDhxaUL330DR-wGjkjaxI","",""
"1676376679-271","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","Honor 20 6/128",""
"1676376679-272","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","","","10 700 ₽"
